news,class
ရှမ်းပြည်နယ်မြောက်ပိုင်း ဒေသများတွင် မူးယစ်ဆေး သုံးစွဲမှုများနှင့် ဆက်စပ်၍ လူကုန်ကူးမှုများ ဖြစ်ပေါ်နေပြီး မြန်မာအမျိုးသမီးငယ် တစ်ဦးလျှင် တရုတ်ယွမ်ငွေ တစ်သောင်းနှင့် လေးသောင်းကြား ရောင်းစားမှုများ ရှိနေ,crime
နေပြည်တော် ကောင်စီနယ်မြေတွင် စက်တင်ဘာလအတွင်း အုပ်စုဖွဲ့ ရန်ဖြစ်ခြင်းနှင့် လူသတ်မှုများ ဖြစ်ပွားလာခြင်းကြောင့် ဒေသခံ ပြည်သူများအနေဖြင့် စိုးရိမ် ထိတ်လန့်မှုများ ရှိနေကြောင်း သတင်းရရှိသည်။,crime
လန်ဒန်ဆရာတော်၏ အမှုအား ဆက်လက်စစ်ဆေးရာ သန္တိသုခ ကျောင်းတိုက်တွင် ကပွဲများ၊ ရှုတင်များ လက်ခံ ကျင်းပခဲ့ခြင်းနှင့် ပတ်သက်ပြီး တရားလိုပြ သက်သေအား စစ်ဆေးခဲ့ကြောင်း ၂၀၁၅ ခုနှစ် အောက်တိုဘာ ၂ ရက်တွင် ပြုလုပ်သည့် ရုံးချိန်းမှ သိရသည်။,crime
ဒဂုံမြို့သစ်အရှေ့ပိုင်းမြို့နယ်ရှိ နေအိမ်နှစ်လုံးမှ ဖမ်းဆီးရမိသော ကျပ် ၂၉ ဘီလျံကျော်တန်ဖိုးရှိ မူးယစ်ဆေးဝါးများမှာ ဘူးသီးတောင်၊ မောင်တောမြို့နယ်များသို့ ပို့ဆောင်ရန်စီစဉ်ထားခြင်းဖြစ်ပြီး ယင်းနှင့်ပတ်သက်၍ စစ်တွေမြို့နယ် ယာဉ်လိုင်းတစ်ခုမှ ဂိတ်မှူးအားဖမ်းဆီး,crime
နေပြည်တော်ကောင်စီ နယ်မြေတွင် ယောက်ျားဖြစ်သူအား ဓားဖြင့် ထိုးသတ်ပြီး အမျိုးသမီးအား သားမယားပြုကျင့်မှုဖြစ်စဉ်တွင် ကျူးလွန်သူများအား ဆက်လက်စုံစမ်းနေဆဲဖြစ်ကြောင်း နေပြည်တော်တိုင်း ရဲတပ်ဖွဲ့မှူး ဦးကိုကိုအောင်က ပြောကြားသည်။,crime
ကြိုးတုပ် ဒဏ်ရာများဖြင့်  သေဆုံးနေသော ခန္ဓာကိုယ် အောက်ပိုင်းတွင် အဝတ်မပါသည့်  အသက် ၂၅ နှစ်အရွယ်  အမျိုးသမီး တစ်ဦး၏ အလောင်းကို အမရပူရမြို့နယ် မန္တ လေး-စစ်ကိုင်းကားလမ်း တံတားဖြူ တံတားအနီးရှိ ရေစပ်တွင် လာရောက် စွန့်ပစ်မှု စက်တင်ဘာ ၂၈ ရက် ညနေ ၆ နာရီခွဲဝန်းကျင်က ဖြစ်ပွားခဲ့ကြောင်း အမရပူရမြို့နယ် ရဲစခန်းမှ သတင်းရရှိသည်။,crime
ရန်ကုန်မြို့အတွင်း ရွှေအတု လိမ်လည် ရောင်းချမှုကြောင့် အင်းစိန်ထောင်၌ ချုပ်နှောင် ဖမ်းဆီးထားသည့် တရုတ်နိုင်ငံသား သုံးဦးအား အလုံမြို့နယ် တရားရုံး၌ အောက်တိုဘာ ၁၆ ရက်က ဆက်လက် ရုံးထုတ်ခဲ့ကြောင်း သိရသည်။,crime
ညစ်ညမ်းစာများ ဖြန့်ဝေကြော်ငြာခြင်းနှင့် တရုတ်နိုင်ငံသားများ တရားမဝင် ဆေးကုသခြင်းတို့ကြောင့် တရားစွဲခံထားရသော တော်ဝင်နှင်းဆီ ဆေးရုံကို စည်ပင်သာယာရေး ကော်မတီက ပြန်လည်သိမ်းယူ,crime
မြန်မာနိုင်ငံအတွင်း တစ်လင်တစ်မယားစနစ် ဥပဒေ အတည်ပြု ပြဋ္ဌာန်းခဲ့ပြီး နောက်ပိုင်း ယင်းဥပဒေဖြင့် အိမ်ထောင်သက် နှစ် ၃၀ နီးပါးရှိ အိမ်ထောင်ရှင်များ အပါအဝင် အမှုဖွင့် အရေးယူသည့် ဖြစ်စဉ်များ အောက်တိုဘာလအတွင်း ဆက်တိုက် ဖြစ်ပွားနေကြောင်း သိရသည်။,crime
ညစ်ညမ်းစာများ ဖြန့်ဝေကြော်ငြာခြင်းနှင့် တရုတ်နိုင်ငံသားများ တရားမဝင် ဆေးကုသခြင်းတို့ကြောင့် တရားစွဲခံထားရသော ချမ်းအေးသာစံမြို့နယ် ၃၁ လမ်းနှင့် ၃၂ လမ်းကြား၊ ၇၇ လမ်းနှင့် ၇၈ လမ်းကြားရှိ တော်ဝင်နှင်းဆီ ဆေးရုံကို အောက်တိုဘာ ၁၃ ရက် ညနေက စည်ပင်သာယာရေး ကော်မတီမှ ပြန်လည် သိမ်းယူခဲ့ကြောင်း သတင်းရရှိသည်။,crime
ရန်ကုန်မြို့အတွင်း ကားကို စာချုပ်ဖြင့် လိမ်လည်ငှားရမ်းကာ အခြားတစ်ဦးထံတွင် လိုင်စင်မဲ့ယာဉ်အဖြစ် လိမ်လည်ရောင်းချ ပေါင်နှံသည့် ဖြစ်စဉ်များ ဆက်တိုက်ဖြစ်ပွားလျက်ရှိကြောင်း ရန်ကုန်တိုင်းဒေသကြီး ရဲတပ်ဖွဲ့ အဆင့်မြင့် ရဲအရာရှိ တစ်ဦးထံမှ စက်တင်ဘာ ၁၄ ရက်တွင် စုံစမ်းသိရှိရသည်။,crime
အစဉ်အလာအားဖြင့် လူငယ်အလုပ်လက်မဲ့ ဦးရေမြင့်မားတဲ့ တရုတ်ပြည်မှာ စီးပွားကျလာတဲ့ အတွက် လူငယ်တွေ အလုပ်အကိုင်ရှာဖွေရေးမှာ အတော်ရုန်းကန်နေရပါတယ်။ တကယ့် ကိန်းဂဏန်းတွေ ရရှိဖို့ ခက်ခဲပေမယ့် လတ်တလောမှာ အသက် ၁၆ နှစ်နဲ့ ၂၄ နှစ်ကြား လူ ၅ ယောက်မှာ ၁ ယောက်မကဟာ အလုပ်လက်မဲ့ ဖြစ်နေတယ်လို့ ဆိုပါတယ်။,business
အပြည်ပြည်ဆိုင်ရာမြန်မာလေကြောင်းလိုင်း(MAI)က ပြည်ထောင်စုနေ့ ဂုဏ်ပြုအထိမ်းအမှတ် ဂေါက်သီးရိုက် ပြိုင်ပွဲအား ဒုတိယအကြိမ်အဖြစ် Dagon City Golf Resort တွင် ကျင်းပ,business
နိုင်ငံခြားငွေကြေးစျေးကွက်တွင် ဒေါ်လာ ၁၁ သန်းနှင့် ထိုင်းဘတ်သန်း ၂၀၀ အထိ ဗဟိုဘဏ်က ထပ်မံထုတ်ရောင်း,business
၂၀၂၃-၂၀၂၄ ဘဏ္ဍာနှစ် ငါးလကျော်အတွင်း မြန်မာနိုင်ငံ၏ ပြည်ပကုန်သွယ်မှုကဏ္ဍတွင် ကုန်သွယ်မှုလိုငွေ ဒေါ်လာ ၇၇၁ သန်းကျော် ဖြစ်ပေါ်,business
နိုင်ငံပိုင်ဘဏ်နှင့် ပုဂ္ဂလိကဘဏ်များတွင် အပ်ငွေ ကျပ် ၄၃၂၂၆ ဘီလျံကျော်ရှိပြီး ယခင်သုံးလနှင့်နှိုင်းယှဉ်ပါက နိုင်ငံပိုင်ဘဏ်များ၌ အပ်ငွေရရှိမှု ကျပ် ၂၃၆ ဘီလျံ၊ ပုဂ္ဂလိကဘဏ်များတွင် အပ်ငွေရရှိမှု ကျပ်ဘီလျံ ၅၄၀ မြင့်တက်,business
တစ်ပတ်အတွင်း ပင်လယ် ရေကြောင်းမှ ပြည်ပသို့ ဒေါ်လာ ၁၄ သန်းကျော်ရှိ ဆန်တန်ချိန် ၄၇၅၀၀ ကျော်တင်ပို့ခဲ့ရာ အိုင်ဗရီကို့စ်နိုင်ငံသို့ တင်ပို့မှုအများဆုံးဖြစ်,business
မြန်မာနှင့် ရုရှားနှစ်နိုင်ငံအကြား ဘဏ္ဍာရေး ပူးပေါင်းဆောင်ရွက်မှုဆိုင်ရာ လုပ်ငန်းကော်မတီဖွဲ့စည်းရန်နှင့် နှစ်နိုင်ငံဗဟိုဘဏ်များအကြား ပူးပေါင်းဆောင်ရွက်ရန် သဘောတူစာချုပ် လက်မှတ်ရေးထိုးနိုင်ရန် ဆောင်ရွက်မည်,business
ဗဟိုဘဏ်က နိုင်ငံခြားငွေလဲနှုန်း တစ်ဒေါ်လာ ကျပ် ၂၁၀၀ သတ်မှတ်ထားပြီး ပြင်ပစျေးကွက်တွင် တစ်ဒေါ်လာ  ကျပ် ၃၁၀၀ ဝန်းကျင်ရှိနေဟု သိရ,business
ပြင်သစ်ဝန်ကြီးချုပ် အက်ဒဝပ်ဖီးလစ်က ချေးငွေအပေါ် အစိုးရက မှီခိုနေရမှုကို အဆုံးသတ်ရန်နှင့် ရင်းနှီးမြှုပ်နှံမှုကို တွန်းအားပေးရန်အတွက် ရည်ရွယ်သည့် အခွန်လျှော့ချမည့် အစီအစဉ်များနှင့် အစိုးရအသုံးစရိတ် လျှော့ချမည့် အစီအစဉ်များကို ဇူလိုင် ၄ ရက်တွင် ကြေညာခဲ့သည်။,business
ကမ္ဘာ့စမတ်ဖုန်းစျေးကွက်၏ ရှယ်ယာအများစုကို  ယခုအခါ Apple က ပိုင်ဆိုင်ထားပြီး ၁၂ နှစ်အတွင်း ပထမဆုံးအကြိမ်အဖြစ် ဆမ်ဆောင်းကိုကျော်တက်လိုက်ခြင်းဖြစ်သည်။ ,business
အထည်ချုပ်သည် ပို့ကုန်ကဏ္ဍ၌ အတိုးတက်ဆုံးဖြစ်ပြီး လက်ရှိဘဏ္ဍာနှစ်တစ်လခန့်တွင် တင်ပို့မှုတန်ဖိုး ဒေါ်လာ သန်း ၃၂၀ ကျော်ရရှိထားပြီး ယခင်နှစ်ကာလတူထက် ဒေါ်လာ သန်း ၄၀ ခန့် ပိုမိုတင်ပို့ခဲ့,business
နိုင်ငံပိုင်ဘဏ်နှင့် ပုဂ္ဂလိကဘဏ်များတွင် အပ်ငွေ ကျပ် ၄၃၂၂၆ ဘီလျံကျော်ရှိပြီး ယခင်သုံးလနှင့်နှိုင်းယှဉ်ပါက နိုင်ငံပိုင်ဘဏ်များ၌ အပ်ငွေရရှိမှု ကျပ် ၂၃၆ ဘီလျံ၊ ပုဂ္ဂလိကဘဏ်များတွင် အပ်ငွေရရှိမှု ကျပ်ဘီလျံ ၅၄၀ မြင့်တက်,business
၂၀၂၀ ပြည့်နှစ် သြဂုတ် ၁၀ ရက်တွင် ကမ္ဘာ့ရွှေစျေး ၂၀၃၁ ဒေါ်လာဝန်းကျင် ဖြစ်ပေါ်ခဲ့ပြီး ပြည်တွင်းရွှေစျေးနှုန်း ကျပ် ၁၃၂၇၀၀၀ ဝန်းကျင်ရှိခဲ့ကြောင်း ရွှေရောင်းဝယ်သူများထံမှ သိရသည်။,business
၂၀၁၉ ခုနှစ် စက်တင်ဘာတွင် ပြည်တွင်းဘဏ်များက ထုတ်ချေးထားသော ချေးငွေပမာဏ ကျပ် ၂၉၀၁၈ ဘီလျံရှိပြီး နိုင်ငံပိုင်ဘဏ်များက ကျပ် ၄၇၂၄ ဘီလျံကျော်၊ ပုဂ္ဂလိကဘဏ်များက ကျပ် ၂၄၂၉၄ ဘီလျံကျော် ထုတ်ချေးထား,business
ရန်ကုန်တိုင်းအတွင်း ဒေါ်လာ ၇ ဒသမ ၂၈ သန်းရှိ CMP စနစ်ဖြင့် အဝတ်အထည်အမျိုးမျိုး ချုပ်လုပ်ခြင်းနှင့် မျက်မှန်ထည့်သော ဘူးအမျိုးမျိုး ထုတ်လုပ်ခြင်းလုပ်ငန်းများကို ဟောင်ကောင်နှင့် တရုတ်ကုမ္ပဏီများက လုပ်ကိုင်မည်,business
၂၀၂၀ ပြည့်နှစ် ဇန်နဝါရီတွင် စားသုံးသူစျေးဆနှုန်း (CPI) ၁၆၁ ဒသမ ၃၃ ရှိခဲ့ပြီး ယခင်နှစ်ကာလတူထက် ၉ ဒသမ ၀၉ ရာခိုင်နှုန်း မြင့်တက်ခဲ့ကြောင်း ဗဟိုစာရင်းအင်းအဖွဲ့က ထုတ်ပြန်သည့် စားသုံးသူစျေးဆနှုန်း နှင့် ငွေကြေးဖောင်းပွမှုနှုန်းအခြေအနေအရ သိရသည်။,business
၂၀၁၉ ခုနှစ် ဇွန်တွင် မြန်မာနိုင်ငံအတွင်း လှည့်လည် သုံးစွဲနေသော ငွေစက္ကူ ကျပ် ၁၄၁၅၆ ဘီလျံကျော် ရှိပြီး ၂၀၁၉ ခုနှစ် မတ်နှင့် နှိုင်းယှဉ်ပါက သုံးလအတွင်း ကျပ် ၃၉၄ ဘီလျံဝန်းကျင် လျော့ကျ,business
၂၀၁၉-၂၀၂၀ ဘဏ္ဍာနှစ် သုံးလအတွင်း မြန်မာနိုင်ငံတွင် နိုင်ငံပေါင်း ၁၆ နိုင်ငံက ဒေါ်လာ ၁ ဒသမ ၁၆၄ ဘီလျံကျော် လာရောက်မြှုပ်နှံထားပြီး ဟောင်ကောင်က ဒေါ်လာ ၈၂၄ သန်းကျော်ဖြင့် နိုင်ငံအလိုက် ရင်းနှီးမြှုပ်နှံမှုစာရင်း၌ ထိပ်ဆုံးမှရပ်တည်နေ,business
တစ်နှစ်အတွင်း အစားအစာအုပ်စု ကုန်စျေးနှုန်း ရှစ်ရာခိုင်နှုန်းခန့်၊ အိမ်လခ ၃၁ ရာခိုင်နှုန်းခန့်၊ ကျန်းမာရေးကုန်ကျစရိတ် ရှစ်ရာခိုင်နှုန်းကျော်၊ ပညာရေး ကုန်ကျစရိတ် လေးရာခိုင်နှုန်းကျော် မြင့်တက်,business
အိန္ဒိယက မတ်ပဲ တန်ချိန်နှစ်သိန်းခွဲ တိုးမြှင့်တင်သွင်းခွင့်ပြုခြင်းကြောင့် ပြည်တွင်းမတ်ပဲစျေး တစ်တန်လျှင် ကျပ်တစ်သိန်းကျော် ခုန်တက်ခဲ့ပြီး မတ်ပဲ FAQ တစ်တန်လျှင် ကျပ် ၁၂၃၀၀၀၀ ဝန်းကျင်အထိ ရှိလာ,business
ပခုက္ကူ ကြက်သွန်စျေးကွက်အတွင်း မိုး ကြက်သွန်သစ် ဝင်ရောက်မှု များပြားနေပြီး နယ်စုံ ဝယ်လက်များနေသည့်အတွက် တစ်ပိဿာအမြင့်ဆုံး ကျပ် ၂၄၀၀ ပေါက်စျေးရှိ,business
ကမ္ဘာ့ရေနံစျေး တစ်စည် ၅၈ ဒေါ်လာဝန်းကျင်အထိ ပြန်တက်ခဲ့ပြီး ပြည်တွင်းစက်သုံးဆီစျေးနှုန်းများ နှစ်ရက်အတွင်း တစ်လီတာ ၂၅ ကျပ် ပြန်လည်မြင့်တက်,business
သြဂုတ် ၄ ရက်တွင် ရွှေလုပ်ငန်းရှင်များအသင်းက  ပြည်တွင်းရွှေစျေးနှုန်း ကျပ် ၂၀၆၁၀၀၀ ဖြင့် စျေးပိတ်ခဲ့သော်လည်း ပြင်ပစျေးကွက်တွင် ကျပ် ၂၄၃၀၀၀၀ အထိ စံချိန်တင် ထပ်မံမြင့်တက်ခဲ့,business
၂၀၂၂ ခုနှစ် မေ ၂၀ ရက်တွင် ကမ္ဘာ့ဒေါ်လာစျေး အညွှန်းကိန်း ၁၀၂ ပွိုင့်ဝန်းကျင်ရှိကာ နိုင်ငံခြားငွေလဲနှုန်း တစ်ဒေါ်လာ ၁၈၅၅ ကျပ် ဝန်းကျင်ရှိနေကြောင်း  နိုင်ငံခြား ငွေကြေး ရောင်းဝယ်သူများထံမှ သိရသည်။,business
ပဲခူးတိုင်းအတွင်း ဘက်ထရီသုံး လျှပ်စစ်မော်တော်ကား ထုတ်လုပ်ခြင်းလုပ်ငန်းများ ဆောင်ရွက်နိုင်ရေး ပြည်တွင်း၊ ပြည်ပရင်းနှီးမြှုပ်နှံသူများ ဖိတ်ခေါ်ဆောင်ရွက်စေလိုကြောင်း ဝန်ကြီးချုပ် ပြောကြား,business
